,Fantasy Points,VBD,TD,YDS,Attempts (Y/A),pos
0,Michael Thomas,Michael Thomas,Tyreek Hill,Michael Thomas,Marvin Hall,WR
1,Julio Jones,Julio Jones,Michael Thomas,Julio Jones,Chad Beebe,WR
2,DeAndre Hopkins,DeAndre Hopkins,Davante Adams,DeAndre Hopkins,Richie James,WR
3,Tyreek Hill,Tyreek Hill,Tyler Lockett,Mike Evans,Robert Foster,WR
4,Mike Evans,Mike Evans,DeAndre Hopkins,Keenan Allen,Breshad Perriman,WR
5,Davante Adams,Davante Adams,Calvin Ridley,Davante Adams,Deontay Burnett,WR
6,Robert Woods,Robert Woods,Mike Evans,Robert Woods,DeSean Jackson,WR
7,Keenan Allen,Keenan Allen,Antonio Brown,Tyreek Hill,Brandon Zylstra,WR
8,Kenny Golladay,Kenny Golladay,Cooper Kupp,Kenny Golladay,Mike Williams,WR
9,Tyler Lockett,Tyler Lockett,Kenny Golladay,Amari Cooper,Mike Evans,WR
10,Chris Godwin,Chris Godwin,Chris Godwin,Chris Godwin,David Moore,WR
11,Stefon Diggs,Stefon Diggs,Adam Thielen,Stefon Diggs,Josh Gordon,WR
12,Amari Cooper,Amari Cooper,Amari Cooper,Jarvis Landry,Kenny Golladay,WR
13,Jarvis Landry,Jarvis Landry,Stefon Diggs,Odell Beckham,Marcell Ateman,WR
14,Julian Edelman,Julian Edelman,Julio Jones,Tyler Boyd,Marcus Johnson,WR
15,Odell Beckham,Tyler Boyd,Marvin Jones,Tyler Lockett,Marquez Valdes-Scantling,WR
16,Adam Thielen,Calvin Ridley,Tyler Boyd,JuJu Smith-Schuster,Marquise Goodwin,WR
17,Tyler Boyd,Cooper Kupp,Mike Williams,Julian Edelman,Courtland Sutton,WR
18,Calvin Ridley,DeVante Parker,Julian Edelman,D.J. Moore,Michael Gallup,WR
19,Cooper Kupp,Allen Robinson,Keenan Allen,Allen Robinson,Tyreek Hill,WR
20,JuJu Smith-Schuster,DJ Chark,John Brown,Courtland Sutton,John Brown,WR
21,Allen Robinson,Courtland Sutton,Curtis Samuel,Adam Thielen,Vyncint Smith,WR
22,Emmanuel Sanders,John Brown,Tyrell Williams,Brandin Cooks,Tyrell Williams,WR
23,John Brown,Michael Gallup,Allen Robinson,John Brown,Jake Kumerow,WR
24,Mike Williams,D.J. Moore,Robby Anderson,T.Y. Hilton,Tavon Austin,WR
25,D.J. Moore,Marvin Jones,T.Y. Hilton,Emmanuel Sanders,Trent Sherfield,WR
26,Courtland Sutton,Odell Beckham,Golden Tate,Cooper Kupp,James Washington,WR
27,T.Y. Hilton,Emmanuel Sanders,Larry Fitzgerald,Calvin Ridley,Robby Anderson,WR
28,Brandin Cooks,Jamison Crowder,Chris Conley,Mike Williams,Tyler Lockett,WR
29,Antonio Brown,Cole Beasley,Alshon Jeffery,Michael Gallup,Cody Latimer,WR
30,Larry Fitzgerald,Curtis Samuel,Kenny Stills,Larry Fitzgerald,Chris Godwin,WR
31,Robby Anderson,Mike Williams,John Ross,Robby Anderson,DeVante Parker,WR
32,Curtis Samuel,Robby Anderson,JuJu Smith-Schuster,DeVante Parker,Will Fuller,WR
33,Marvin Jones,Chris Conley,Odell Beckham,Corey Davis,Josh Reynolds,WR
34,Michael Gallup,Golden Tate,Courtland Sutton,Golden Tate,Laquon Treadwell,WR
35,Golden Tate,Larry Fitzgerald,Jarvis Landry,Cole Beasley,Kenny Stills,WR
36,DeVante Parker,Breshad Perriman,DeVante Parker,Sterling Shepard,Brandin Cooks,WR
37,Dede Westbrook,Tyrell Williams,Tre'Quan Smith,Dede Westbrook,Julio Jones,WR
38,Cole Beasley,Randall Cobb,Kendrick Bourne,Mohamed Sanu,Amari Cooper,WR
39,Sterling Shepard,Christian Kirk,Anthony Miller,Antonio Brown,Rashard Higgins,WR
